file,mode,shape,bit_depth,color_type,channels,ch0_min,ch0_max,ch0_mean,ch0_std,ch0_min_norm,ch0_max_norm,ch0_mean_norm,ch0_std_norm,ch1_min,ch1_max,ch1_mean,ch1_std,ch1_min_norm,ch1_max_norm,ch1_mean_norm,ch1_std_norm,ch2_min,ch2_max,ch2_mean,ch2_std,ch2_min_norm,ch2_max_norm,ch2_mean_norm,ch2_std_norm
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S0.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,90.0,43.73101844328892,19.386287172028698,0.0,0.35294117647058826,0.17149418997368202,0.07602465557658313
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S11.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,70.0,33.56446010724732,14.355663533125494,0.0,0.27450980392156865,0.13162533375391106,0.05629671973774703
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S14.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,109.0,57.56107816054599,23.415579241047208,0.0,0.42745098039215684,0.22572971827665095,0.09182580094528317
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S17.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,105.0,53.86726113097173,23.683522476792515,0.0,0.4117647058823529,0.21124416129792833,0.09287655873251967
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S2.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,84.0,38.48514177770556,18.84917500861108,0.0,0.32941176470588235,0.15092212461845317,0.07391833336710228
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S22.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,100.0,50.56377965550861,23.545047170481325,0.0,0.39215686274509803,0.1982893319823867,0.09233351831561304
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S25.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,79.0,40.64920173870653,16.87768144455465,0.0,0.30980392156862746,0.15940863426943738,0.06618698605707705
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S28.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,68.0,32.44911845953851,13.667311670786226,0.0,0.26666666666666666,0.12725144493936671,0.05359730066974991
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S30.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,93.0,44.55957507312317,20.973397783241232,0.0,0.36470588235294116,0.17474343165930656,0.08224861875780876
/auto/home/artashes/data/train/Inputs/Task_2_ICASSP/B10_Ant1_f1_S33.png,RGB,"[272, 362, 3]",8,2,3,0.0,16.0,0.3442984237894053,1.7949192864053518,0.0,0.06274509803921569,0.001350189897213354,0.007038899162373929,0.0,10.0,0.2256560773480663,1.2243681241998516,0.0,0.0392156862745098,0.0008849257935218287,0.004801443624313144,0.0,103.0,51.95766980825479,23.555818388363672,0.0,0.403921568627451,0.203755567875509,0.09237575838573989
